Номер,Утверждение A,Утверждение B,Константы,Тип,Примечание,Полюс_+,Полюс_−
18,Решения записываю и проверяю логику.,"Решения принимаю быстро, ориентируясь на живой отклик.",C2,Основная,универсальные; маскировка высокая,Рациональность,Эмоциональность
19,"В конфликте отсоединяю эмоции, чтобы увидеть сути.","В конфликте эмоциональная сторона для меня важна, её нельзя игнорировать.",C2,Основная,универсальные; маскировка высокая,Рациональность,Эмоциональность
20,"Если аргументы сильные, меняю мнение даже без симпатии к идее.","Даже при сильных аргументах важно, чтобы идея «откликалась внутри».",C2,Основная,универсальные; маскировка высокая,Рациональность,Эмоциональность
82,Решение не требует эмоций — только расчёта.,"Иногда правильнее довериться чутью, чем цифрам.",C2,Зеркальная,для оценки ψ (устойчивость),Рациональность,Эмоциональность
21,"Я сверяюсь с правилами и традициями, прежде чем менять подход.","Готов идти своим путём, даже если принято иначе.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
22,"Компании легче, когда участники подстраиваются — я это учитываю.",Ценю самостоятельность мнения выше удобства для компании.,C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
23,"Если большинство решило, мне проще поддержать их выбор.","Если уверен в позиции, остаюсь при своём даже против большинства.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
24,"На собраниях я осторожно выражаю несогласие, чтобы не ломать ход.","На собраниях открыто обозначаю несогласие, даже если это сбивает темп.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
25,"Сначала узнаю, как принято, и действую в этом русле.","Сначала уточняю цель, а «как принято» — не главный ориентир.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
26,Санкции/поощрения группы для меня значимы при выборе действий.,"Внешние оценки не так важны, как внутренние основания.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
27,"Я предпочитаю компромиссы, если это облегчает взаимодействие.","Я предпочитаю прямоту, даже если это создаёт напряжение.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
28,"Если руководитель настаивает, я выполню, даже сомневаясь.","Если сомневаюсь, обозначу это и предложу альтернативу.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
29,Формальные договорённости важнее личного взгляда.,Личный взгляд важнее формальных рамок.,C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
30,"Мне комфортно быть «как все», если это упрощает жизнь.","Мне комфортно выделяться, если так честно по отношению к цели.",C3,Основная,универсальные; маскировка высокая,Конформизм,Независимость
83,"Если команда решила, я не стану спорить.","Если вижу риск ошибки, не соглашусь, даже если все «за».",C3,Зеркальная,для оценки ψ (устойчивость),Конформизм,Независимость
31,"При резких нападках я отвечаю жёстко, чтобы поставить границу.",При резких нападках я сохраняю спокойствие и переношу разговор в конструктив.,C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
32,В споре мне проще усилить позицию давлением.,В споре мне проще смягчить тон и искать формулировки общих точек.,C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
33,"Если вижу откровенное нарушение, действую резко и сразу.","Если вижу нарушение, сначала уточняю детали и предлагаю исправить.",C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
34,"Когда злость поднимается, я позволяю ей звучать напрямую.","Когда злость поднимается, я выдерживаю паузу, прежде чем говорить.",C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
35,В переговорах я намеренно держу жёсткую линию.,"В переговорах я намеренно держу мягкую, но настойчивую линию.",C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
36,"Мне проще поставить человека на место, чем терпеть.",Мне проще спокойно обозначить границы и удержать их.,C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
37,"Если меня перебивают, я перебиваю в ответ.","Если меня перебивают, прошу договорить без обострения.",C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
38,Сила — лучший аргумент в конфликтной обстановке.,Чёткие правила и уважительный тон — лучший аргумент.,C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
39,"Острые слова иногда лучше, чем долгая дипломатия.","Дипломатия лучше острых слов, даже если дольше.",C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
40,При усталости я срываюсь чаще и не считаю это проблемой.,"При усталости я стараюсь сдержаться сильнее, чем обычно.",C4,Основная,универсальные; маскировка высокая,Агрессия,Мягкость
84,В конфликте лучше говорить мягко.,"В конфликте лучше повысить тон, чтобы на меня обратили внимание.",C4,Зеркальная,для оценки ψ (устойчивость),Агрессия,Мягкость
41,"Если решение не срочное, я предпочитаю подумать ещё раз.","Если решение не срочное, всё равно принимаю его быстро, чтобы двигаться.",C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
42,Мне привычно начинать с минимального шага и обратной связи.,Мне привычно делать смелый шаг и корректировать на ходу.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
43,Я предпочитаю планы с запасом по времени и ресурсам.,Я предпочитаю планы с вызовом — это даёт энергию.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
44,Риск оцениваю заранее и снижаю по возможности.,Риск принимаю как часть движения; не трачу много времени на его оценку.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
45,Сначала тест на небольшом участке — потом масштаб.,Сначала масштаб — потом приводим в порядок детали.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
46,При сомнениях я откладываю действие до ясности.,При сомнениях я действую и разбираюсь по ходу.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
47,"Если не хватает информации, иду искать факты.","Если не хватает информации, полагаюсь на опыт и интуицию.",C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
48,Люблю чек-листы и контрольные точки.,Люблю эффект неожиданности и движение без лишних рамок.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
49,"Предпочитаю стабильный темп, чем рывки.","Предпочитаю рывки, чем монотонный темп.",C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
50,"Ошибки лучше предупреждать, чем героически исправлять.",Ошибки лучше проживать быстро и извлекать из них энергию.,C5,Основная,универсальные; маскировка высокая,Осторожность,Импульсивность
85,"Лучше шаг за шагом, чем рывками.","Лучше быстрое действие, чем долгие раздумья.",C5,Зеркальная,для оценки ψ (устойчивость),Осторожность,Импульсивность
51,"Если обещал — выполняю, даже если неудобно.","Если обстоятельства изменились, от обещаний можно отойти без объяснений.",C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
52,Правила честности важны и в мелочах.,Правила — инструмент; иногда их обход рациональнее.,C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
53,"Предпочту неприятную правду, чем удобную неправду.",Иногда удобная неправда полезнее прямоты.,C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
54,"Если моя ошибка задела других, я предупреждаю и исправляю.","Если ошибка незаметна, не вижу смысла поднимать тему.",C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
55,Публичная заслуга должна соответствовать реальному вкладу.,Кто как представил — тот и молодец; результат важнее формальностей.,C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
56,Конфликт интересов лучше раскрыть заранее.,"Конфликт интересов можно не раскрывать, если никто не спросил.",C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
57,"Если взял чужую идею, укажу источник.","Идеи «в воздухе»; важно, кто быстрее реализует.",C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
58,Я не пользуюсь чужими слабостями для выгоды.,Возможности есть возможности — мораль вторична.,C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
59,Обещания и договорённости держат систему в порядке.,"Гибкость важнее договорённостей, если можно выиграть.",C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
60,Границы другого — не поле для экспериментов.,"Если человек не защитил границы, значит, не ценит их.",C6,Основная,универсальные; маскировка высокая,Этичность,Аморальность
61,Мне интересно пробовать новые форматы и способы.,Предпочитаю привычные форматы: проверено — значит надёжно.,C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
62,Я быстро втягиваюсь в незнакомые темы.,Мне комфортнее оставаться в знакомых темах.,C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
63,"Когда появляется новое, я первым делом тестирую его на практике.","Когда появляется новое, выжидаю, пока уляжется и станет понятнее.",C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
64,"Люди с иным взглядом меня скорее увлекают, чем настораживают.","Люди с иным взглядом меня скорее настораживают, чем увлекают.",C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
65,Мне нравится менять обстановку и маршруты.,Люблю стабильность и знакомые тропы.,C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
66,К новому опыту я отношусь с любопытством.,К новому опыту я отношусь с осторожностью.,C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
67,Я быстро учусь на незнакомых инструментах.,"Я предпочитаю совершенствовать то, что уже знаю.",C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
68,"Если идея свежая, я готов выделить время на эксперимент.","Если идея свежая, пусть дозреет — потом вернёмся.",C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
69,Новые люди — это возможность для роста.,Новые люди — это нагрузка на внимание и силы.,C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
70,Переучиваться — нормально; это цена развития.,"Переучиваться — лишняя трата ресурсов, если старое работает.",C7,Основная,универсальные; маскировка высокая,Открытость,Замкнутость
86,Охотно завожу разговор с незнакомыми людьми.,Предпочитаю держаться особняком на новых встречах.,C8,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Экстраверсия,Интроверсия
87,Получаю энергию от общения и активности.,Восстанавливаюсь в одиночестве и перегружаюсь от толпы.,C8,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Экстраверсия,Интроверсия
88,Заранее планирую задачи и довожу их до конца.,Чаще действую по обстоятельствам и легко откладываю дела.,C9,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Добросовестность,Разболтанность
89,Следую установленным правилам и срокам.,"Сроки для меня гибкие, правила — скорее ориентиры.",C9,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Добросовестность,Разболтанность
90,Сохраняю спокойствие в стрессовых ситуациях.,В стрессовых ситуациях сильно переживаю и теряюсь.,C10,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Эмоциональная стабильность,Невротичность
91,Редко поддаюсь панике и быстро прихожу в норму.,Долго прокручиваю неприятности и тревожусь.,C10,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Эмоциональная стабильность,Невротичность
92,"Сначала доверяю людям, пока не доказано обратное.",Предпочитаю проверять намерения людей и не спешу доверять.,C11,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Доверие,Подозрительность
93,Охотно делегирую и верю в добрые мотивы.,Чаще ищу скрытый мотив и стараюсь контролировать.,C11,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Доверие,Подозрительность
94,Стараюсь не выпячивать свои заслуги.,"Не вижу ничего плохого в том, чтобы громко говорить о своих достижениях.",C12,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Скромность,Нарциссизм
95,Комфортно остаюсь «за кадром».,Люблю быть в центре внимания и признания.,C12,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Скромность,Нарциссизм
96,Легко улавливаю чувства других и откликаюсь.,Мне трудно понимать эмоциональные состояния других.,C13,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Сочувствие,Алекситимия
97,"Замечаю, когда кому-то плохо, и стараюсь поддержать.","Чувствую растерянность, когда от меня ждут эмоциональной реакции.",C13,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Сочувствие,Алекситимия
98,"Прежде чем действовать, обдумываю последствия.","Чаще действую сразу, а разберусь потом.",C14,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Рефлексивность,Импульс-действие
99,Люблю анализ и переосмысление опыта.,Предпочитаю быстрое действие без долгих размышлений.,C14,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Рефлексивность,Импульс-действие
100,"Тянет пробовать новое, даже если есть риск.",Предпочитаю надёжные варианты без лишнего риска.,C15,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Риск-поиск,Риск-избегание
101,Готов ставить амбициозные ставки ради выигрыша.,"Лучше меньше, но надёжнее.",C15,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Риск-поиск,Риск-избегание
102,"Довожу работу до безупречности, даже если это дольше.",Предпочитаю сделать «достаточно хорошо» и идти дальше.,C16,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Перфекционизм,Дезорганизация
103,Внимателен к деталям и стандартам качества.,Не зацикливаюсь на деталях и легко переключаюсь.,C16,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Перфекционизм,Дезорганизация
104,Берусь руководить и продавливаю решения при необходимости.,Скорее уступлю и поддержу общий курс.,C17,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Доминирование,Уступчивость
105,Комфортно принимать жёсткие решения.,Комфортно следовать и согласовывать.,C17,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Доминирование,Уступчивость
106,"Считаю, что мой успех зависит в основном от меня.","Часто думаю, что многое решают удача и обстоятельства.",C18,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Внутренний локус контроля,Внешний локус контроля
107,Берусь менять ситуацию сам.,Жду подходящих условий.,C18,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Внутренний локус контроля,Внешний локус контроля
108,Легко меняю мнение при появлении новых фактов.,Предпочитаю держаться привычных взглядов.,C19,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Когнитивная гибкость,Ригидность
109,Переключаюсь между задачами и стратегиями без труда.,Лучше действую по одному плану и с трудом переключаюсь.,C19,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Когнитивная гибкость,Ригидность
110,"Спокойно работаю, когда требований и ясности мало.","Мне нужно чёткое ТЗ, иначе чувствую дискомфорт.",C20,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Толерантность к неопределённости,Нетерпимость
111,Могу принимать решения при нехватке данных.,Без полной информации откладываю решения.,C20,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Толерантность к неопределённости,Нетерпимость
112,Легко жертвую быстрым результатом ради долгой цели.,"Предпочитаю выгоду, которую вижу прямо сейчас.",C21,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Долгосрочная ориентация,Немедленная выгода
113,Инвестирую усилия в отдалённые результаты.,Сосредотачиваюсь на ближайшей отдаче.,C21,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Долгосрочная ориентация,Немедленная выгода
114,"Поддерживаю себя после ошибок, учусь без самобичевания.",Строго осуждаю себя за промахи.,C22,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Самосострадание,Самоосуждение
115,Говорю с собой доброжелательно в трудностях.,Часто ругаю себя и долго переживаю.,C22,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Самосострадание,Самоосуждение
116,Предпочитаю прямое и честное общение.,Могу приукрасить или умолчать ради результата.,C23,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Честность в поведении,Манипулятивность
117,Соблюдаю договорённости даже без контроля.,"Готов искажать факты, если это помогает цели.",C23,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Честность в поведении,Манипулятивность
118,Легко выступаю и отстаиваю позицию публично.,Публичные выступления и споры меня сильно тревожат.,C24,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Социальная смелость,Социальная тревожность
119,Иду на сложные переговоры без страха.,"Избегаю социальных ситуаций, где могу выглядеть неловко.",C24,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Социальная смелость,Социальная тревожность
120,"Интересуюсь взглядами, отличными от моих.","Считаю, что правильная позиция одна — моя.",C25,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Ценностная открытость,Догматизм
121,Готов пересматривать убеждения.,Стараюсь не менять установленные принципы.,C25,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Ценностная открытость,Догматизм
122,Предлагаю нестандартные идеи и решения.,Предпочитаю проверенные подходы.,C26,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Креативность,Репродуктивность
123,Люблю экспериментировать с новыми концептами.,"Считаю, что лучше работать по шаблону.",C26,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Креативность,Репродуктивность
124,"Долго держусь за цель, несмотря на трудности.","Если трудно, часто меняю цель или сдаюсь.",C27,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Грит (настойчивость),Сдача позиции
125,Довожу долгие проекты до результата.,Легко теряю интерес при препятствиях.,C27,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Грит (настойчивость),Сдача позиции
126,Умею осознанно управлять сильными эмоциями.,Эмоции часто захватывают меня и ведут поведение.,C28,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Саморегуляция аффекта,Аффективная лабильность
127,Быстро возвращаюсь к рабочему состоянию после всплеска.,Настроение резко меняется и влияет на решения.,C28,Основная,FBM 3.0: авто‑сгенерированные формулировки (v1).,Саморегуляция аффекта,Аффективная лабильность
71,Мне удобнее планировать покупки заранее.,Мне удобнее покупать по мере необходимости.,—,Буфер,маскировка структуры,,
72,Мне приятнее завтракать дома.,Мне приятнее завтракать вне дома.,—,Буфер,маскировка структуры,,
73,В путешествиях я беру минимум вещей.,В путешествиях я беру всё на всякий случай.,—,Буфер,маскировка структуры,,
74,Я чаще слушаю подкасты.,Я чаще слушаю музыку.,—,Буфер,маскировка структуры,,
75,Для заметок выбираю бумагу.,Для заметок выбираю телефон.,—,Буфер,маскировка структуры,,
76,Предпочитаю чай.,Предпочитаю кофе.,—,Буфер,маскировка структуры,,
77,Люблю ходить пешком.,Предпочитаю транспорт.,—,Буфер,маскировка структуры,,
78,Мне комфортнее ранние встречи.,Мне комфортнее поздние встречи.,—,Буфер,маскировка структуры,,
79,На кухне люблю экспериментировать.,На кухне люблю проверенные рецепты.,—,Буфер,маскировка структуры,,
80,Смотрю фильмы до титров.,"Часто выключаю на середине, если не зашло.",—,Буфер,маскировка структуры,,
128,"Окружающие считают меня человеком, склонным к экстраверсия.",Окружающие отмечают моё интроверсия поведение.,C8,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Экстраверсия,Интроверсия
129,В трудных обстоятельствах проявляется моё экстраверсия.,В стрессе у меня проявляется интроверсия.,C8,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Экстраверсия,Интроверсия
130,Мне легко проявлять экстраверсия в повседневных ситуациях.,Мне ближе интроверсия как способ поведения.,C8,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Экстраверсия,Интроверсия
131,"Считаю, что экстраверсия помогает достигать целей.","Считаю, что интроверсия помогает лучше справляться с людьми.",C8,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Экстраверсия,Интроверсия
132,Часто замечаю в себе черты добросовестность поведения.,Часто проявляю разболтанность в типичных ситуациях.,C9,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Добросовестность,Разболтанность
133,В трудных обстоятельствах проявляется моё добросовестность.,В стрессе у меня проявляется разболтанность.,C9,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Добросовестность,Разболтанность
134,"Считаю, что добросовестность помогает достигать целей.","Считаю, что разболтанность помогает лучше справляться с людьми.",C9,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Добросовестность,Разболтанность
135,Я намеренно развиваю в себе добросовестность как качество.,Я стараюсь не быть чрезмерно разболтанность.,C9,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Добросовестность,Разболтанность
136,"Окружающие считают меня человеком, склонным к эмоциональная стабильность.",Окружающие отмечают моё невротичность поведение.,C10,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Эмоциональная стабильность,Невротичность
137,В трудных обстоятельствах проявляется моё эмоциональная стабильность.,В стрессе у меня проявляется невротичность.,C10,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Эмоциональная стабильность,Невротичность
138,Мне легко проявлять эмоциональная стабильность в повседневных ситуациях.,Мне ближе невротичность как способ поведения.,C10,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Эмоциональная стабильность,Невротичность
139,Часто замечаю в себе черты эмоциональная стабильность поведения.,Часто проявляю невротичность в типичных ситуациях.,C10,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Эмоциональная стабильность,Невротичность
140,Часто замечаю в себе черты доверие поведения.,Часто проявляю подозрительность в типичных ситуациях.,C11,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Доверие,Подозрительность
141,Я намеренно развиваю в себе доверие как качество.,Я стараюсь не быть чрезмерно подозрительность.,C11,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Доверие,Подозрительность
142,"Окружающие считают меня человеком, склонным к доверие.",Окружающие отмечают моё подозрительность поведение.,C11,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Доверие,Подозрительность
143,Мне легко проявлять доверие в повседневных ситуациях.,Мне ближе подозрительность как способ поведения.,C11,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Доверие,Подозрительность
144,В трудных обстоятельствах проявляется моё скромность.,В стрессе у меня проявляется нарциссизм.,C12,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Скромность,Нарциссизм
145,Часто замечаю в себе черты скромность поведения.,Часто проявляю нарциссизм в типичных ситуациях.,C12,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Скромность,Нарциссизм
146,Я намеренно развиваю в себе скромность как качество.,Я стараюсь не быть чрезмерно нарциссизм.,C12,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Скромность,Нарциссизм
147,Мне легко проявлять скромность в повседневных ситуациях.,Мне ближе нарциссизм как способ поведения.,C12,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Скромность,Нарциссизм
148,В трудных обстоятельствах проявляется моё сочувствие.,В стрессе у меня проявляется алекситимия.,C13,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Сочувствие,Алекситимия
149,Мне легко проявлять сочувствие в повседневных ситуациях.,Мне ближе алекситимия как способ поведения.,C13,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Сочувствие,Алекситимия
150,"Окружающие считают меня человеком, склонным к сочувствие.",Окружающие отмечают моё алекситимия поведение.,C13,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Сочувствие,Алекситимия
151,Часто замечаю в себе черты сочувствие поведения.,Часто проявляю алекситимия в типичных ситуациях.,C13,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Сочувствие,Алекситимия
152,"Считаю, что рефлексивность помогает достигать целей.","Считаю, что импульс-действие помогает лучше справляться с людьми.",C14,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Рефлексивность,Импульс-действие
153,Часто замечаю в себе черты рефлексивность поведения.,Часто проявляю импульс-действие в типичных ситуациях.,C14,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Рефлексивность,Импульс-действие
154,Мне легко проявлять рефлексивность в повседневных ситуациях.,Мне ближе импульс-действие как способ поведения.,C14,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Рефлексивность,Импульс-действие
155,В трудных обстоятельствах проявляется моё рефлексивность.,В стрессе у меня проявляется импульс-действие.,C14,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Рефлексивность,Импульс-действие
156,Я намеренно развиваю в себе риск-поиск как качество.,Я стараюсь не быть чрезмерно риск-избегание.,C15,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Риск-поиск,Риск-избегание
157,В трудных обстоятельствах проявляется моё риск-поиск.,В стрессе у меня проявляется риск-избегание.,C15,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Риск-поиск,Риск-избегание
158,Часто замечаю в себе черты риск-поиск поведения.,Часто проявляю риск-избегание в типичных ситуациях.,C15,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Риск-поиск,Риск-избегание
159,"Окружающие считают меня человеком, склонным к риск-поиск.",Окружающие отмечают моё риск-избегание поведение.,C15,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Риск-поиск,Риск-избегание
160,"Окружающие считают меня человеком, склонным к перфекционизм.",Окружающие отмечают моё дезорганизация поведение.,C16,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Перфекционизм,Дезорганизация
161,Часто замечаю в себе черты перфекционизм поведения.,Часто проявляю дезорганизация в типичных ситуациях.,C16,Основная,FBM 3.0: автогенерация расширенного набора (v2).,Перфекционизм,Дезорганизация
